Country/Region,Date,Cases
US,1/24/20,0
Australia,1/24/20,0
US,1/24/20,0
Lebanon,1/24/20,0
US,1/24/20,0
US,1/24/20,0
Iraq,1/24/20,0
US,1/24/20,0
Oman,1/24/20,0
Afghanistan,1/24/20,0
Bahrain,1/24/20,0
Kuwait,1/24/20,0
Algeria,1/24/20,0
Croatia,1/24/20,0
Switzerland,1/24/20,0
Austria,1/24/20,0
Israel,1/24/20,0
Pakistan,1/24/20,0
Brazil,1/24/20,0
Georgia,1/24/20,0
Greece,1/24/20,0
North Macedonia,1/24/20,0
Norway,1/24/20,0
Romania,1/24/20,0
Denmark,1/24/20,0
Estonia,1/24/20,0
Netherlands,1/24/20,0
San Marino,1/24/20,0
Belarus,1/24/20,0
Canada,1/24/20,0
Iceland,1/24/20,0
Lithuania,1/24/20,0
Mexico,1/24/20,0
New Zealand,1/24/20,0
Nigeria,1/24/20,0
Australia,1/24/20,0
Ireland,1/24/20,0
Luxembourg,1/24/20,0
Monaco,1/24/20,0
Qatar,1/24/20,0
US,1/24/20,0
Ecuador,1/24/20,0
Azerbaijan,1/24/20,0
Czech Republic,1/24/20,0
Armenia,1/24/20,0
Dominican Republic,1/24/20,0
US,1/24/20,0
Indonesia,1/24/20,0
Portugal,1/24/20,0
Andorra,1/24/20,0
Australia,1/24/20,0
Latvia,1/24/20,0
Morocco,1/24/20,0
Saudi Arabia,1/24/20,0
Senegal,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
Argentina,1/24/20,0
Chile,1/24/20,0
Jordan,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
US,1/24/20,0
Ukraine,1/24/20,0
Mainland China,1/25/20,39
Mainland China,1/25/20,41
Mainland China,1/25/20,57
Mainland China,1/25/20,18
Mainland China,1/25/20,4
Mainland China,1/25/20,78
Mainland China,1/25/20,23
Mainland China,1/25/20,4
Mainland China,1/25/20,19
Mainland China,1/25/20,8
Mainland China,1/25/20,9
Mainland China,1/25/20,32
Mainland China,1/25/20,761
Mainland China,1/25/20,43
Mainland China,1/25/20,7
Mainland China,1/25/20,18
Mainland China,1/25/20,18
Mainland China,1/25/20,4
Mainland China,1/25/20,17
Mainland China,1/25/20,3
Mainland China,1/25/20,1
Mainland China,1/25/20,15
Mainland China,1/25/20,27
Mainland China,1/25/20,33
Mainland China,1/25/20,6
Mainland China,1/25/20,28
Mainland China,1/25/20,10
Mainland China,1/25/20,0
Mainland China,1/25/20,3
Mainland China,1/25/20,11
Mainland China,1/25/20,62
Thailand,1/25/20,7
Japan,1/25/20,2
South Korea,1/25/20,2
Taiwan,1/25/20,3
US,1/25/20,1
US,1/25/20,1
US,1/25/20,0
Macau,1/25/20,2
Hong Kong,1/25/20,5
Singapore,1/25/20,3
Vietnam,1/25/20,2
France,1/25/20,3
Nepal,1/25/20,1
Malaysia,1/25/20,3
Canada,1/25/20,0
Canada,1/25/20,0
US,1/25/20,0
US,1/25/20,0
Australia,1/25/20,0
Australia,1/25/20,0
Australia,1/25/20,0
Cambodia,1/25/20,0
Sri Lanka,1/25/20,0
Germany,1/25/20,0
Finland,1/25/20,0
United Arab Emirates,1/25/20,0
Philippines,1/25/20,0
India,1/25/20,0
Canada,1/25/20,0
Italy,1/25/20,0
UK,1/25/20,0
Russia,1/25/20,0
Sweden,1/25/20,0
US,1/25/20,0
Spain,1/25/20,0
Australia,1/25/20,0
US,1/25/20,0
US,1/25/20,0
Belgium,1/25/20,0
US,1/25/20,0
Others,1/25/20,0
US,1/25/20,0
US,1/25/20,0
Egypt,1/25/20,0
Iran,1/25/20,0
US,1/25/20,0
US,1/25/20,0
Australia,1/25/20,0
US,1/25/20,0
Lebanon,1/25/20,0
US,1/25/20,0
US,1/25/20,0
Iraq,1/25/20,0
US,1/25/20,0
Oman,1/25/20,0
Afghanistan,1/25/20,0
Bahrain,1/25/20,0
Kuwait,1/25/20,0
Algeria,1/25/20,0
Croatia,1/25/20,0
Switzerland,1/25/20,0
Austria,1/25/20,0
Israel,1/25/20,0
Pakistan,1/25/20,0
Brazil,1/25/20,0
Georgia,1/25/20,0
Greece,1/25/20,0
North Macedonia,1/25/20,0
Norway,1/25/20,0
Romania,1/25/20,0
Denmark,1/25/20,0
Estonia,1/25/20,0
Netherlands,1/25/20,0
San Marino,1/25/20,0
Belarus,1/25/20,0
Canada,1/25/20,0
Iceland,1/25/20,0
Lithuania,1/25/20,0
Mexico,1/25/20,0
New Zealand,1/25/20,0
Nigeria,1/25/20,0
Australia,1/25/20,0
Ireland,1/25/20,0
Luxembourg,1/25/20,0
Monaco,1/25/20,0
Qatar,1/25/20,0
US,1/25/20,0
Ecuador,1/25/20,0
Azerbaijan,1/25/20,0
Czech Republic,1/25/20,0
Armenia,1/25/20,0
Dominican Republic,1/25/20,0
US,1/25/20,0
Indonesia,1/25/20,0
Portugal,1/25/20,0
Andorra,1/25/20,0
Australia,1/25/20,0
Latvia,1/25/20,0
Morocco,1/25/20,0
Saudi Arabia,1/25/20,0
Senegal,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
Argentina,1/25/20,0
Chile,1/25/20,0
Jordan,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
US,1/25/20,0
Ukraine,1/25/20,0
Mainland China,1/26/20,60
Mainland China,1/26/20,68
Mainland China,1/26/20,75
Mainland China,1/26/20,35
Mainland China,1/26/20,7
Mainland China,1/26/20,111
Mainland China,1/26/20,36
Mainland China,1/26/20,5
Mainland China,1/26/20,22
Mainland China,1/26/20,13
Mainland China,1/26/20,15
Mainland China,1/26/20,83
Mainland China,1/26/20,1058
Mainland China,1/26/20,69
Mainland China,1/26/20,7
Mainland China,1/26/20,33
Mainland China,1/26/20,36
Mainland China,1/26/20,4
Mainland China,1/26/20,21
Mainland China,1/26/20,4
Mainland China,1/26/20,1
Mainland China,1/26/20,22
Mainland China,1/26/20,46
Mainland China,1/26/20,40
Mainland China,1/26/20,9
Mainland China,1/26/20,44
Mainland China,1/26/20,14
Mainland China,1/26/20,0
Mainland China,1/26/20,4
Mainland China,1/26/20,16
Mainland China,1/26/20,104
Thailand,1/26/20,8
Japan,1/26/20,4
South Korea,1/26/20,3
Taiwan,1/26/20,4
US,1/26/20,1
US,1/26/20,1
US,1/26/20,1
Macau,1/26/20,5
Hong Kong,1/26/20,8
Singapore,1/26/20,4
Vietnam,1/26/20,2
France,1/26/20,3
Nepal,1/26/20,1
Malaysia,1/26/20,4
Canada,1/26/20,1
Canada,1/26/20,0
US,1/26/20,1
US,1/26/20,1
Australia,1/26/20,3
Australia,1/26/20,1
Australia,1/26/20,0
Cambodia,1/26/20,0
Sri Lanka,1/26/20,0
Germany,1/26/20,0
Finland,1/26/20,0
United Arab Emirates,1/26/20,0
Philippines,1/26/20,0
India,1/26/20,0
Canada,1/26/20,0
Italy,1/26/20,0
UK,1/26/20,0
Russia,1/26/20,0
Sweden,1/26/20,0
US,1/26/20,0
Spain,1/26/20,0
Australia,1/26/20,0
US,1/26/20,0
US,1/26/20,0
Belgium,1/26/20,0
US,1/26/20,0
Others,1/26/20,0
US,1/26/20,0
US,1/26/20,0
Egypt,1/26/20,0
Iran,1/26/20,0
US,1/26/20,0
US,1/26/20,0
Australia,1/26/20,0
US,1/26/20,0
Lebanon,1/26/20,0
US,1/26/20,0
US,1/26/20,0
Iraq,1/26/20,0
US,1/26/20,0
Oman,1/26/20,0
Afghanistan,1/26/20,0
Bahrain,1/26/20,0
Kuwait,1/26/20,0
Algeria,1/26/20,0
Croatia,1/26/20,0
Switzerland,1/26/20,0
Austria,1/26/20,0
Israel,1/26/20,0
Pakistan,1/26/20,0
Brazil,1/26/20,0
Georgia,1/26/20,0
Greece,1/26/20,0
North Macedonia,1/26/20,0
Norway,1/26/20,0
Romania,1/26/20,0
Denmark,1/26/20,0
Estonia,1/26/20,0
Netherlands,1/26/20,0
San Marino,1/26/20,0
Belarus,1/26/20,0
Canada,1/26/20,0
Iceland,1/26/20,0
Lithuania,1/26/20,0
Mexico,1/26/20,0
New Zealand,1/26/20,0
Nigeria,1/26/20,0
Australia,1/26/20,0
Ireland,1/26/20,0
Luxembourg,1/26/20,0
Monaco,1/26/20,0
Qatar,1/26/20,0
US,1/26/20,0
Ecuador,1/26/20,0
Azerbaijan,1/26/20,0
Czech Republic,1/26/20,0
Armenia,1/26/20,0
Dominican Republic,1/26/20,0
US,1/26/20,0
Indonesia,1/26/20,0
Portugal,1/26/20,0
Andorra,1/26/20,0
Australia,1/26/20,0
Latvia,1/26/20,0
Morocco,1/26/20,0
Saudi Arabia,1/26/20,0
Senegal,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
Argentina,1/26/20,0
Chile,1/26/20,0
Jordan,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
US,1/26/20,0
Ukraine,1/26/20,0
Mainland China,1/27/20,70
Mainland China,1/27/20,80
Mainland China,1/27/20,110
Mainland China,1/27/20,59
Mainland China,1/27/20,14
Mainland China,1/27/20,151
Mainland China,1/27/20,46
Mainland China,1/27/20,7
Mainland China,1/27/20,33
Mainland China,1/27/20,18
Mainland China,1/27/20,21
Mainland China,1/27/20,128
Mainland China,1/27/20,1423
Mainland China,1/27/20,100
Mainland China,1/27/20,11
Mainland China,1/27/20,47
Mainland China,1/27/20,72
Mainland China,1/27/20,6
Mainland China,1/27/20,27
Mainland China,1/27/20,7
Mainland China,1/27/20,6
Mainland China,1/27/20,35
Mainland China,1/27/20,75
Mainland China,1/27/20,53
Mainland China,1/27/20,13
Mainland China,1/27/20,69
Mainland China,1/27/20,23
Mainland China,1/27/20,0
Mainland China,1/27/20,5
Mainland China,1/27/20,26
Mainland China,1/27/20,128
Thailand,1/27/20,8
Japan,1/27/20,4
South Korea,1/27/20,4
Taiwan,1/27/20,5
US,1/27/20,1
US,1/27/20,1
US,1/27/20,1
Macau,1/27/20,6
Hong Kong,1/27/20,8
Singapore,1/27/20,5
Vietnam,1/27/20,2
France,1/27/20,3
Nepal,1/27/20,1
Malaysia,1/27/20,4
Canada,1/27/20,1
Canada,1/27/20,0
US,1/27/20,1
US,1/27/20,1
Australia,1/27/20,4
Australia,1/27/20,1
Australia,1/27/20,0
Cambodia,1/27/20,1
Sri Lanka,1/27/20,1
Germany,1/27/20,1
Finland,1/27/20,0
United Arab Emirates,1/27/20,0
Philippines,1/27/20,0
India,1/27/20,0
Canada,1/27/20,0
Italy,1/27/20,0
UK,1/27/20,0
Russia,1/27/20,0
Sweden,1/27/20,0
US,1/27/20,0
Spain,1/27/20,0
Australia,1/27/20,0
US,1/27/20,0
US,1/27/20,0
Belgium,1/27/20,0
US,1/27/20,0
Others,1/27/20,0
US,1/27/20,0
US,1/27/20,0
Egypt,1/27/20,0
Iran,1/27/20,0
US,1/27/20,0
US,1/27/20,0
Australia,1/27/20,0
US,1/27/20,0
Lebanon,1/27/20,0
US,1/27/20,0
US,1/27/20,0
Iraq,1/27/20,0
US,1/27/20,0
Oman,1/27/20,0
Afghanistan,1/27/20,0
Bahrain,1/27/20,0
Kuwait,1/27/20,0
Algeria,1/27/20,0
Croatia,1/27/20,0
Switzerland,1/27/20,0
Austria,1/27/20,0
Israel,1/27/20,0
Pakistan,1/27/20,0
Brazil,1/27/20,0
Georgia,1/27/20,0
Greece,1/27/20,0
North Macedonia,1/27/20,0
Norway,1/27/20,0
Romania,1/27/20,0
Denmark,1/27/20,0
Estonia,1/27/20,0
Netherlands,1/27/20,0
San Marino,1/27/20,0
Belarus,1/27/20,0
Canada,1/27/20,0
Iceland,1/27/20,0
Lithuania,1/27/20,0
Mexico,1/27/20,0
New Zealand,1/27/20,0
Nigeria,1/27/20,0
Australia,1/27/20,0
Ireland,1/27/20,0
Luxembourg,1/27/20,0
Monaco,1/27/20,0
Qatar,1/27/20,0
US,1/27/20,0
Ecuador,1/27/20,0
Azerbaijan,1/27/20,0
Czech Republic,1/27/20,0
Armenia,1/27/20,0
Dominican Republic,1/27/20,0
US,1/27/20,0
Indonesia,1/27/20,0
Portugal,1/27/20,0
Andorra,1/27/20,0
Australia,1/27/20,0
Latvia,1/27/20,0
Morocco,1/27/20,0
Saudi Arabia,1/27/20,0
Senegal,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
Argentina,1/27/20,0
Chile,1/27/20,0
Jordan,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
US,1/27/20,0
Ukraine,1/27/20,0
Mainland China,1/28/20,106
Mainland China,1/28/20,91
Mainland China,1/28/20,132
Mainland China,1/28/20,80
Mainland China,1/28/20,19
Mainland China,1/28/20,207
Mainland China,1/28/20,51
Mainland China,1/28/20,9
Mainland China,1/28/20,40
Mainland China,1/28/20,33
Mainland China,1/28/20,33
Mainland China,1/28/20,168
Mainland China,1/28/20,3554
Mainland China,1/28/20,143
Mainland China,1/28/20,15
Mainland China,1/28/20,70
Mainland China,1/28/20,109
Mainland China,1/28/20,8
Mainland China,1/28/20,34
Mainland China,1/28/20,11
Mainland China,1/28/20,6
Mainland China,1/28/20,46
Mainland China,1/28/20,95
Mainland China,1/28/20,66
Mainland China,1/28/20,27
Mainland China,1/28/20,90
Mainland China,1/28/20,24
Mainland China,1/28/20,0
Mainland China,1/28/20,10
Mainland China,1/28/20,44
Mainland China,1/28/20,173
Thailand,1/28/20,14
Japan,1/28/20,7
South Korea,1/28/20,4
Taiwan,1/28/20,8
US,1/28/20,1
US,1/28/20,1
US,1/28/20,1
Macau,1/28/20,7
Hong Kong,1/28/20,8
Singapore,1/28/20,7
Vietnam,1/28/20,2
France,1/28/20,4
Nepal,1/28/20,1
Malaysia,1/28/20,4
Canada,1/28/20,1
Canada,1/28/20,1
US,1/28/20,1
US,1/28/20,1
Australia,1/28/20,4
Australia,1/28/20,1
Australia,1/28/20,0
Cambodia,1/28/20,1
Sri Lanka,1/28/20,1
Germany,1/28/20,4
Finland,1/28/20,0
United Arab Emirates,1/28/20,0
Philippines,1/28/20,0
India,1/28/20,0
Canada,1/28/20,0
Italy,1/28/20,0
UK,1/28/20,0
Russia,1/28/20,0
Sweden,1/28/20,0
US,1/28/20,0
Spain,1/28/20,0
Australia,1/28/20,0
US,1/28/20,0
US,1/28/20,0
Belgium,1/28/20,0
US,1/28/20,0
Others,1/28/20,0
US,1/28/20,0
US,1/28/20,0
Egypt,1/28/20,0
Iran,1/28/20,0
US,1/28/20,0
US,1/28/20,0
Australia,1/28/20,0
US,1/28/20,0
Lebanon,1/28/20,0
US,1/28/20,0
US,1/28/20,0
Iraq,1/28/20,0
US,1/28/20,0
Oman,1/28/20,0
Afghanistan,1/28/20,0
Bahrain,1/28/20,0
Kuwait,1/28/20,0
Algeria,1/28/20,0
Croatia,1/28/20,0
Switzerland,1/28/20,0
Austria,1/28/20,0
Israel,1/28/20,0
Pakistan,1/28/20,0
Brazil,1/28/20,0
Georgia,1/28/20,0
Greece,1/28/20,0
North Macedonia,1/28/20,0
Norway,1/28/20,0
Romania,1/28/20,0
Denmark,1/28/20,0
Estonia,1/28/20,0
Netherlands,1/28/20,0
San Marino,1/28/20,0
Belarus,1/28/20,0
Canada,1/28/20,0
Iceland,1/28/20,0
Lithuania,1/28/20,0
Mexico,1/28/20,0
New Zealand,1/28/20,0
Nigeria,1/28/20,0
Australia,1/28/20,0
Ireland,1/28/20,0
Luxembourg,1/28/20,0
Monaco,1/28/20,0
Qatar,1/28/20,0
US,1/28/20,0
Ecuador,1/28/20,0
Azerbaijan,1/28/20,0
Czech Republic,1/28/20,0
Armenia,1/28/20,0
Dominican Republic,1/28/20,0
US,1/28/20,0
Indonesia,1/28/20,0
Portugal,1/28/20,0
Andorra,1/28/20,0
Australia,1/28/20,0
Latvia,1/28/20,0
Morocco,1/28/20,0
Saudi Arabia,1/28/20,0
Senegal,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
Argentina,1/28/20,0
Chile,1/28/20,0
Jordan,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
US,1/28/20,0
Ukraine,1/28/20,0
Mainland China,1/29/20,152
Mainland China,1/29/20,111
Mainland China,1/29/20,147
Mainland China,1/29/20,84
Mainland China,1/29/20,24
Mainland China,1/29/20,277
Mainland China,1/29/20,58
Mainland China,1/29/20,9
Mainland China,1/29/20,43
Mainland China,1/29/20,48
Mainland China,1/29/20,38
Mainland China,1/29/20,206
Mainland China,1/29/20,3554
Mainland China,1/29/20,221
Mainland China,1/29/20,16
Mainland China,1/29/20,99
Mainland China,1/29/20,109
Mainland China,1/29/20,9
Mainland China,1/29/20,39
Mainland China,1/29/20,12
Mainland China,1/29/20,6
Mainland China,1/29/20,56
Mainland China,1/29/20,130
Mainland China,1/29/20,96
Mainland China,1/29/20,27
Mainland China,1/29/20,108
Mainland China,1/29/20,27
Mainland China,1/29/20,0
Mainland China,1/29/20,13
Mainland China,1/29/20,55
Mainland China,1/29/20,296
Thailand,1/29/20,14
Japan,1/29/20,7
South Korea,1/29/20,4
Taiwan,1/29/20,8
US,1/29/20,1
US,1/29/20,1
US,1/29/20,1
Macau,1/29/20,7
Hong Kong,1/29/20,10
Singapore,1/29/20,7
Vietnam,1/29/20,2
France,1/29/20,5
Nepal,1/29/20,1
Malaysia,1/29/20,7
Canada,1/29/20,1
Canada,1/29/20,1
US,1/29/20,1
US,1/29/20,1
Australia,1/29/20,4
Australia,1/29/20,1
